topic|partition|offset|table_name
test-spark-topic|8|70632726|
test-spark-topic|8|70632727|
test-spark-topic|8|70632728|
test-spark-topic|8|70632729|
test-spark-topic|8|70632730|
test-spark-topic|8|70632731|
test-spark-topic|8|70632732|
test-spark-topic|8|70632733|
test-spark-topic|8|70632734|
test-spark-topic|8|70632735|
test-spark-topic|8|70632736|
test-spark-topic|8|70632737|
test-spark-topic|8|70632738|
test-spark-topic|8|70632739|
test-spark-topic|8|70632740|
test-spark-topic|8|70632741|
test-spark-topic|8|70632742|
test-spark-topic|8|70632743|
test-spark-topic|8|70632744|
test-spark-topic|8|70632745|
test-spark-topic|8|70632746|
test-spark-topic|8|70632747|
test-spark-topic|8|70632748|
test-spark-topic|8|70632749|
test-spark-topic|8|70632750|
test-spark-topic|8|70632751|
test-spark-topic|8|70632752|
test-spark-topic|8|70632753|
test-spark-topic|8|70632754|
test-spark-topic|8|70632755|
test-spark-topic|8|70632756|
test-spark-topic|8|70632757|
test-spark-topic|8|70632758|
test-spark-topic|8|70632759|
test-spark-topic|8|70632760|
test-spark-topic|8|70632761|
test-spark-topic|8|70632762|
test-spark-topic|8|70632763|
test-spark-topic|8|70632764|
test-spark-topic|8|70632765|
test-spark-topic|8|70632766|
test-spark-topic|8|70632767|
test-spark-topic|8|70632768|
test-spark-topic|8|70632769|
test-spark-topic|8|70632770|
test-spark-topic|8|70632771|
test-spark-topic|8|70632772|
test-spark-topic|8|70632773|
test-spark-topic|8|70632774|
test-spark-topic|8|70632775|
test-spark-topic|8|70632776|
test-spark-topic|8|70632777|
test-spark-topic|8|70632778|
test-spark-topic|8|70632779|
test-spark-topic|8|70632780|
test-spark-topic|8|70632781|
test-spark-topic|8|70632782|
test-spark-topic|8|70632783|
test-spark-topic|8|70632784|
test-spark-topic|8|70632785|
test-spark-topic|8|70632786|
test-spark-topic|8|70632787|
test-spark-topic|8|70632788|
test-spark-topic|8|70632789|
test-spark-topic|8|70632790|
test-spark-topic|8|70632791|
test-spark-topic|8|70632792|
test-spark-topic|8|70632793|
test-spark-topic|8|70632794|
test-spark-topic|8|70632795|
test-spark-topic|8|70632796|
test-spark-topic|8|70632797|
