topic|partition|offset|table_name
test-spark-topic|2|428126616|
test-spark-topic|2|428126617|
test-spark-topic|2|428126618|
test-spark-topic|2|428126619|
test-spark-topic|2|428126620|
test-spark-topic|2|428126621|
test-spark-topic|2|428126622|
test-spark-topic|2|428126623|
test-spark-topic|2|428126624|
test-spark-topic|2|428126625|
test-spark-topic|2|428126626|
test-spark-topic|2|428126627|
test-spark-topic|2|428126628|
test-spark-topic|2|428126629|
test-spark-topic|2|428126630|
test-spark-topic|2|428126631|
test-spark-topic|2|428126632|
test-spark-topic|2|428126633|
test-spark-topic|2|428126634|
test-spark-topic|2|428126635|
test-spark-topic|2|428126636|
test-spark-topic|2|428126637|
test-spark-topic|2|428126638|
test-spark-topic|2|428126639|
test-spark-topic|2|428126640|
test-spark-topic|2|428126641|
test-spark-topic|2|428126642|
test-spark-topic|2|428126643|
test-spark-topic|2|428126644|
test-spark-topic|2|428126645|
test-spark-topic|2|428126646|
test-spark-topic|2|428126647|
test-spark-topic|2|428126648|
test-spark-topic|2|428126649|
test-spark-topic|2|428126650|
test-spark-topic|2|428126651|
test-spark-topic|2|428126652|
test-spark-topic|2|428126653|
test-spark-topic|2|428126654|
test-spark-topic|2|428126655|
test-spark-topic|2|428126656|
test-spark-topic|2|428126657|
test-spark-topic|2|428126658|
test-spark-topic|2|428126659|
test-spark-topic|2|428126660|
test-spark-topic|2|428126661|
test-spark-topic|2|428126662|
test-spark-topic|2|428126663|
test-spark-topic|2|428126664|
test-spark-topic|2|428126665|
test-spark-topic|2|428126666|
test-spark-topic|2|428126667|
test-spark-topic|2|428126668|
test-spark-topic|2|428126669|
test-spark-topic|2|428126670|
test-spark-topic|2|428126671|
test-spark-topic|2|428126672|
test-spark-topic|2|428126673|
test-spark-topic|2|428126674|
test-spark-topic|2|428126675|
test-spark-topic|2|428126676|
test-spark-topic|2|428126677|
test-spark-topic|2|428126678|
test-spark-topic|2|428126679|
test-spark-topic|2|428126680|
test-spark-topic|2|428126681|
