topic|partition|offset|table_name
test-spark-topic|8|70632878|
test-spark-topic|8|70632879|
test-spark-topic|8|70632880|
test-spark-topic|8|70632881|
test-spark-topic|8|70632882|
test-spark-topic|8|70632883|
test-spark-topic|8|70632884|
test-spark-topic|8|70632885|
test-spark-topic|8|70632886|
test-spark-topic|8|70632887|
test-spark-topic|8|70632888|
test-spark-topic|8|70632889|
test-spark-topic|8|70632890|
test-spark-topic|8|70632891|
test-spark-topic|8|70632892|
test-spark-topic|8|70632893|
test-spark-topic|8|70632894|
test-spark-topic|8|70632895|
test-spark-topic|8|70632896|
test-spark-topic|8|70632897|
test-spark-topic|8|70632898|
test-spark-topic|8|70632899|
test-spark-topic|8|70632900|
test-spark-topic|8|70632901|
test-spark-topic|8|70632902|
test-spark-topic|8|70632903|
test-spark-topic|8|70632904|
test-spark-topic|1|428135167|
test-spark-topic|1|428135168|
test-spark-topic|1|428135169|
test-spark-topic|1|428135170|
test-spark-topic|1|428135171|
test-spark-topic|1|428135172|
test-spark-topic|1|428135173|
test-spark-topic|1|428135174|
test-spark-topic|1|428135175|
test-spark-topic|1|428135176|
test-spark-topic|1|428135177|
test-spark-topic|1|428135178|
test-spark-topic|1|428135179|
test-spark-topic|1|428135180|
test-spark-topic|1|428135181|
test-spark-topic|3|341532281|
test-spark-topic|3|341532282|
test-spark-topic|3|341532283|
test-spark-topic|3|341532284|
test-spark-topic|3|341532285|
test-spark-topic|3|341532286|
test-spark-topic|3|341532287|
test-spark-topic|3|341532288|
test-spark-topic|3|341532289|
test-spark-topic|3|341532290|
test-spark-topic|3|341532291|
test-spark-topic|3|341532292|
test-spark-topic|3|341532293|
test-spark-topic|3|341532294|
test-spark-topic|3|341532295|
test-spark-topic|3|341532296|
test-spark-topic|3|341532297|
test-spark-topic|3|341532298|
test-spark-topic|3|341532299|
test-spark-topic|3|341532300|
test-spark-topic|3|341532301|
test-spark-topic|3|341532302|
test-spark-topic|3|341532303|
test-spark-topic|3|341532304|
test-spark-topic|3|341532305|
test-spark-topic|3|341532306|
test-spark-topic|3|341532307|
test-spark-topic|3|341532308|
test-spark-topic|3|341532309|
test-spark-topic|3|341532310|
test-spark-topic|9|70645442|
test-spark-topic|9|70645443|
test-spark-topic|9|70645444|
test-spark-topic|9|70645445|
test-spark-topic|9|70645446|
test-spark-topic|9|70645447|
test-spark-topic|9|70645448|
test-spark-topic|9|70645449|
test-spark-topic|9|70645450|
test-spark-topic|9|70645451|
test-spark-topic|9|70645452|
test-spark-topic|9|70645453|
test-spark-topic|9|70645454|
test-spark-topic|9|70645455|
test-spark-topic|9|70645456|
test-spark-topic|9|70645457|
test-spark-topic|9|70645458|
test-spark-topic|9|70645459|
test-spark-topic|9|70645460|
test-spark-topic|9|70645461|
test-spark-topic|9|70645462|
test-spark-topic|9|70645463|
test-spark-topic|9|70645464|
test-spark-topic|9|70645465|
test-spark-topic|9|70645466|
test-spark-topic|9|70645467|
test-spark-topic|9|70645468|
test-spark-topic|9|70645469|
test-spark-topic|9|70645470|
test-spark-topic|9|70645471|
test-spark-topic|9|70645472|
test-spark-topic|9|70645473|
test-spark-topic|9|70645474|
test-spark-topic|9|70645475|
test-spark-topic|9|70645476|
test-spark-topic|9|70645477|
test-spark-topic|9|70645478|
