topic|partition|offset|table_name
test-spark-topic|2|428126722|
test-spark-topic|2|428126723|
test-spark-topic|2|428126724|
test-spark-topic|2|428126725|
test-spark-topic|2|428126726|
test-spark-topic|2|428126727|
test-spark-topic|2|428126728|
test-spark-topic|2|428126729|
test-spark-topic|2|428126730|
test-spark-topic|2|428126731|
test-spark-topic|2|428126732|
test-spark-topic|2|428126733|
test-spark-topic|2|428126734|
test-spark-topic|2|428126735|
test-spark-topic|2|428126736|
test-spark-topic|2|428126737|
test-spark-topic|2|428126738|
test-spark-topic|2|428126739|
test-spark-topic|2|428126740|
test-spark-topic|2|428126741|
test-spark-topic|2|428126742|
test-spark-topic|2|428126743|
test-spark-topic|2|428126744|
test-spark-topic|2|428126745|
test-spark-topic|2|428126746|
test-spark-topic|2|428126747|
test-spark-topic|11|70651458|
test-spark-topic|11|70651459|
test-spark-topic|11|70651460|
test-spark-topic|11|70651461|
test-spark-topic|11|70651462|
test-spark-topic|11|70651463|
test-spark-topic|11|70651464|
test-spark-topic|11|70651465|
test-spark-topic|11|70651466|
test-spark-topic|11|70651467|
test-spark-topic|11|70651468|
test-spark-topic|11|70651469|
test-spark-topic|11|70651470|
test-spark-topic|11|70651471|
test-spark-topic|11|70651472|
test-spark-topic|11|70651473|
test-spark-topic|11|70651474|
test-spark-topic|11|70651475|
test-spark-topic|11|70651476|
test-spark-topic|11|70651477|
test-spark-topic|11|70651478|
test-spark-topic|11|70651479|
test-spark-topic|11|70651480|
test-spark-topic|6|70669528|
test-spark-topic|6|70669529|
test-spark-topic|6|70669530|
test-spark-topic|6|70669531|
test-spark-topic|6|70669532|
test-spark-topic|6|70669533|
test-spark-topic|6|70669534|
test-spark-topic|6|70669535|
test-spark-topic|6|70669536|
test-spark-topic|6|70669537|
test-spark-topic|6|70669538|
test-spark-topic|6|70669539|
test-spark-topic|10|70676632|
test-spark-topic|10|70676633|
test-spark-topic|10|70676634|
test-spark-topic|10|70676635|
test-spark-topic|10|70676636|
test-spark-topic|10|70676637|
test-spark-topic|10|70676638|
test-spark-topic|10|70676639|
test-spark-topic|10|70676640|
test-spark-topic|10|70676641|
test-spark-topic|10|70676642|
test-spark-topic|10|70676643|
test-spark-topic|10|70676644|
test-spark-topic|10|70676645|
test-spark-topic|10|70676646|
test-spark-topic|10|70676647|
test-spark-topic|10|70676648|
test-spark-topic|10|70676649|
test-spark-topic|10|70676650|
test-spark-topic|10|70676651|
test-spark-topic|10|70676652|
test-spark-topic|10|70676653|
test-spark-topic|10|70676654|
test-spark-topic|10|70676655|
test-spark-topic|10|70676656|
test-spark-topic|10|70676657|
test-spark-topic|10|70676658|
